Date,Equipment,Plane Score,Connection Score,Rotation Score,Bat Speed (mph),Rotational Acceleration (g),On Plane Efficiency (%),Attack Angle (deg),Early Connection (deg),Connection at Impact (deg),Vertical Bat Angle (deg),Power (kW),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor
"October 8, 2018 / 2:17pm",Axe Avenge 2017,,,,60,,,14,,,-28,2.87,0.16,15.5,58
"October 8, 2018 / 2:13pm",Axe Avenge 2017,,,,60.7,,,18,,,-33,2.79,0.17,12.3,60
"October 8, 2018 / 2:12pm",Axe Avenge 2017,,,,63.4,,,21,,,-28,2.95,0.17,12.5,56
"October 8, 2018 / 2:12pm",Axe Avenge 2017,,,,61.6,,,17,,,-27,2.66,0.18,14.6,66
"October 8, 2018 / 2:12pm",Axe Avenge 2017,,,,55.5,,,15,,,-35,2.18,0.18,13.6,58
"October 8, 2018 / 2:12pm",Axe Avenge 2017,,,,57.1,,,11,,,-36,2.29,0.18,13.5,65
"October 8, 2018 / 2:12pm",Axe Avenge 2017,,,,60.7,,,15,,,-36,2.73,0.17,13.6,65
"October 6, 2018 / 6:20am",Axe Avenge 2017,,,,61.2,,,5,,,-22,3.62,0.13,16.5,63
"October 6, 2018 / 6:20am",Axe Avenge 2017,,,,67.4,,,4,,,-28,4.39,0.13,15.9,69
"October 6, 2018 / 6:20am",Axe Avenge 2017,,,,64.7,,,9,,,-28,4.1,0.13,17.1,71
"October 6, 2018 / 6:19am",Axe Avenge 2017,,,,59.8,,,9,,,-29,3.35,0.14,13.5,73
"October 6, 2018 / 6:19am",Axe Avenge 2017,,,,61.2,,,-10,,,-29,3.67,0.13,15.8,65
"October 6, 2018 / 6:19am",Axe Avenge 2017,,,,54.3,,,1,,,-32,2.76,0.14,14.6,72
"October 6, 2018 / 6:15am",Axe Avenge 2017,,,,61.1,,,12,,,-30,3.31,0.14,13.9,68
"October 6, 2018 / 6:15am",Axe Avenge 2017,,,,64.2,,,8,,,-27,3.75,0.14,13.6,72
"October 6, 2018 / 6:14am",Axe Avenge 2017,,,,60.7,,,16,,,-29,3.5,0.13,14,74
"October 3, 2018 / 3:53pm",Demarini Wood Composite,,,,51.8,,,0,,,-39,2.49,0.14,17.9,74
"October 3, 2018 / 3:53pm",Demarini Wood Composite,,,,59.4,,,8,,,-40,3.23,0.14,19.2,74
"October 3, 2018 / 3:52pm",Demarini Wood Composite,,,,56.4,,,0,,,-40,3.13,0.13,18.8,75
"October 3, 2018 / 3:48pm",Zinger Bat Company - X318,,,,56.1,,,11,,,-31,2.6,0.15,18.9,63
"October 3, 2018 / 3:48pm",Zinger Bat Company - X318,,,,52.5,,,-2,,,-33,2.59,0.14,17.3,74
